Feature_Set,Feature_Count,Model,MAE_Mean,MAE_SD,RMSE_Mean,RMSE_SD,R2_Mean,R2_SD,Mean_Error_Mean,Delta_MAE_vs_Full,Delta_RMSE_vs_Full,Delta_R2_vs_Full
Atmospheric_Only,2,LightGBM,0.3972934506284377,0.0242950299495081,0.47918788276426144,0.04211619084679339,-0.2773997363357762,0.24492453311947304,-0.0034107806042398435,0.027720768517000116,0.02817068923504179,-0.13004621635637123
Atmospheric_Only,2,RandomForest,0.39582177214498465,0.024132502918403333,0.48137139177063465,0.03197268305507181,-0.29201053786540454,0.24951592891571034,-0.004999084960872535,0.04168317617838524,0.044009711894439474,-0.22095081648633513
Atmospheric_Only,2,Ridge,0.3905350129299752,0.055140662437680225,0.4758797266256368,0.06348509990879575,-0.23759469200306116,0.12197841723448233,0.0011890873315005324,-0.005804769024915002,-0.0099967167110383,0.0803066856029423
Full,8,LightGBM,0.36957268211143757,0.02979294180889567,0.45101719352921965,0.020991625938405693,-0.14735351997940496,0.28942603332218597,-0.004690031628421043,0.0,0.0,0.0
Full,8,RandomForest,0.3541385959665994,0.038248192438987645,0.4373616798761952,0.022148706141095858,-0.0710597213790694,0.2149587937070261,0.015203813325563365,0.0,0.0,0.0
Full,8,Ridge,0.3963397819548902,0.036428024843505956,0.4858764433366751,0.05214371426751546,-0.31790137760600345,0.2948206111242672,0.006827785418446764,0.0,0.0,0.0
No_GDD,7,LightGBM,0.3858071221085189,0.019275367195408927,0.4694710625510753,0.03358708555883698,-0.24044648535711016,0.29783348288973344,-0.000829245135501619,0.01623443999708135,0.01845386902185564,-0.0930929653777052
No_GDD,7,RandomForest,0.37850356928759055,0.016282647907797123,0.46354679257473597,0.03449345596826623,-0.19628268424159157,0.2159239438701577,0.016944261214843454,0.024364973320991135,0.02618511269854079,-0.12522296286252216
No_GDD,7,Ridge,0.40615483139297676,0.03394908325037001,0.4984904705030391,0.05025000685629368,-0.3874262448899477,0.3207803194317208,0.005824643146670189,0.009815049438086532,0.01261402716636395,-0.06952486728394425
No_RH,7,LightGBM,0.37067002758227946,0.03129061143213111,0.4503612058673923,0.019628016052256076,-0.14081749146239758,0.2673141817732898,-0.0015319178458109094,0.0010973454708418928,-0.0006559876618273397,0.006536028517007381
No_RH,7,RandomForest,0.3521308625387177,0.0374081516080937,0.43563621735331354,0.025415645538131037,-0.06217005707661323,0.2128389249482946,0.015702022539695788,-0.002007733427881686,-0.0017254625228816378,0.008889664302456163
No_RH,7,Ridge,0.41803582026950814,0.03356365772512748,0.5091271557371153,0.058594001696812247,-0.44809114246058857,0.3469595134199655,0.008256502186951165,0.021696038314617916,0.023250712400440188,-0.1301897648545851
No_Rainfall_Anomaly,7,LightGBM,0.3722778813636824,0.021970127062385318,0.46104573864676945,0.016130438959410912,-0.1880338118261403,0.22616587919094785,-0.005258816498554286,0.0027051992522448276,0.010028545117549803,-0.04068029184673533
No_Rainfall_Anomaly,7,RandomForest,0.35457558965042885,0.03807222706654001,0.440529975793943,0.02170078683117143,-0.08345992002188099,0.19741404901130005,0.01123087852108221,0.00043699368382943415,0.00316829591774781,-0.012400198642811597
No_Rainfall_Anomaly,7,Ridge,0.38726428262212437,0.03786338907079581,0.4723532035642071,0.0543736266276096,-0.23354335946162125,0.20404132945431167,0.009895884535430239,-0.009075499332765857,-0.013523239772467999,0.08435801814438221
No_Temperature_Pair,6,LightGBM,0.3840277393936066,0.029431608701429624,0.4620084808077574,0.023292600212219444,-0.18753509791461137,0.19555592051431578,0.0003488830448691915,0.01445505728216906,0.010991287278537765,-0.04018157793520641
No_Temperature_Pair,6,RandomForest,0.3757004938125366,0.04890716282014095,0.45578276251519967,0.04341338564351013,-0.15287830484387535,0.20482086177294104,0.012659743709465182,0.021561897845937206,0.018421082639004493,-0.08181858346480596
No_Temperature_Pair,6,Ridge,0.3934779794499418,0.01957741028934943,0.48220709412284934,0.04479750617171196,-0.2865200795266244,0.1974132987271067,0.00431698105367836,-0.002861802504948441,-0.003669349213825779,0.03138129807937906
Rainfall_Only,3,LightGBM,0.3845287965088529,0.041221471592387676,0.47637667360973734,0.04513664802503946,-0.28067232450567986,0.3385544821831969,0.016482406834130558,0.014956114397415343,0.025359480080517693,-0.1333188045262749
Rainfall_Only,3,RandomForest,0.38532688687357597,0.03483909941754893,0.4640790332988865,0.04517515307013584,-0.20678894808970769,0.2784283632230988,0.021183776819080465,0.031188290906976557,0.026717353422691326,-0.1357292267106383
Rainfall_Only,3,Ridge,0.3764212923332628,0.047550381937935045,0.46187160160807084,0.05378832658573309,-0.17088723858440932,0.12714307281618187,0.002903722192661104,-0.0199184896216274,-0.024004841728604287,0.14701413902159413
Temperature_Only,3,LightGBM,0.37208094008313186,0.029104087526888797,0.45767129744789914,0.02682913572060364,-0.1679696264995882,0.20218361335134272,0.00829756405463845,0.0025082579716942943,0.006654103918679488,-0.020616106520183225
Temperature_Only,3,RandomForest,0.36078168864495314,0.0423178992890177,0.4491207316336624,0.03812859066709218,-0.13069985728843922,0.2499544037253659,0.011617652514416977,0.006643092678353724,0.01175905175746722,-0.059640135909369826
Temperature_Only,3,Ridge,0.39369370203053616,0.0611419987367406,0.482620803182375,0.08411353726558145,-0.27096598595433086,0.2344874350560402,0.010834729741455367,-0.002646079924354061,-0.0032556401543001323,0.0469353916516726
